id,title,url,seeCount,lyrics,album,date,albumInfo
1,바라보기,https://youtu.be/SfAMGYn_y40,322946,"I know you wanna love me
I know you wanna know me
한 발짝씩 천천히
Come to me baby by my side
몰라요 몰라요 그대 맘을
잘 모르지만
알아요 알아요 내 사랑은
하나라는 걸
이름이 무언지 궁금해
어디에 사는지 궁금해
한 두 살은 많아 보이는데
나보다 오빤지 궁금해
그대 모든 게 알고 싶어져요 정말
몰라요 몰라요 그대 맘을
잘 모르지만
알아요 알아요 내 사랑은
하나라는 걸
우연히 스쳐 지나갈 때
살며시 미소를 지을 때
어쩌다가 눈이 마주칠 때
그 날은 떨려 말도 못 해
그대 모르게 사랑에 빠졌죠 정말
몰라요 몰라요 그대 맘을
잘 모르지만
알아요 알아요 내 사랑은
하나라는 걸
서두르지 말아 한 발짝씩
Slow down
내가 아무리 사랑에
둔한 남자라 해도
I know U that
나를 향한 너의 진실한 마음
날 바라보는 네 눈빛 Like
달콤한 막대사탕을 사달라 조르는
키 작은 어린 아이
사랑에 서투른 나이 쑥스러움도 많아
내 앞에서는 말 한 마디 못 해
편지로 마음을 전하는
순정 만화 속에서나
나올 법한 그런 아이
넌 내 곁에 두긴 아까운 아이
몰라요 몰라요 그대 맘을
잘 모르지만
알아요 알아요 내 사랑은
하나라는 걸
말해요 말해요 그대 맘은
나와 같다고
원하고 원하죠 그 사랑은
나 뿐이란 걸",Growing Up,2009. 4. 23.,정규 1집 Growing Up
2,Boo,https://youtu.be/g3TP6XZ1Baw,3013790,"Think about it  IU
Cheki cheki  IU
Boo  boo  boo (boo  boo  boo)
Ah ah ah  ah ah  ah ah
내가 별로라는 외모를 갖고 있는 너라고
많이 안 좋아하는 버릇도
모조리 다 갖추고 있어
어쩜 스치기만 해도
엄청나게 싫은 얼굴로 (no)
널 쳐다봤어 (미안하긴 했어)
네가 여자친구 없는 이유를 알겠어 (알겠어)
다른 애들보다 조금 수준 떨어져
하지만 며칠 뒤 어느 새 나도 모르게 거짓말처럼
(네 생각만 나)
You're my boo
내게 사랑을 줘 한 입만 boo
맛있는 사랑을 할거야 boo
아이스크림보다 달콤한
(My boo my my boo)
난 너만 사랑하고파
(그냥) 그냥 네 곁에만 있고파
(아무) 아무 것도 난 필요 없는 걸
(My boo my my boo) boo
괜히 콧대 높고 쓸데없이 눈만 높아서
나를 지나가는 남자도
모조리 다 점수를 매겨
(이러네 저러네 말하고)
꼼꼼하게 흠을 잡아도 (uh)
좀 외로웠어 (바보같긴 했어)
내가 남자친구 없는 이유를 알겠어 (알겠어)
다른 애들보다 너무 재기만 했어
하지만 며칠 뒤
어느 새 나도 모르게
거짓말처럼 (네 생각만 나)
You're my boo
내게 사랑을 줘 한 입만 boo
맛있는 사랑을 할거야 boo
아이스크림보다 달콤한
(My boo my my boo)
난 너만 사랑하고파
(그냥) 그냥 네 곁에만 있고파
(아무) 아무 것도 난 필요 없는 걸
(My boo my my boo)
햇살이 좋은 날에
살짝 바람 부는 날에
단 둘이 단 둘이
네 손을 꼭 잡고
걷고 싶은 게 간절하니깐 너무나 신기해
You hoo (my boy)
You're my boo
하나만 물어보고 싶어 boo (boo  boo)
내 맘과 네 맘이 같다면 boo (boo  boo)
지금부터 나를 불러 줘
(My boo my my boo)
난 너만 사랑하고파
(그냥) 그냥 네 곁에만 있고파
(아무) 아무 것도 난 필요 없는 걸
(My boo my my boo) boo  boo
",Growing Up,2009. 4. 23.,정규 1집 Growing Up
3,가여워,https://youtu.be/V3fDY5zH9_g,153491,"난 하루 종일 뭘 했는지 기억 안 나고 
난 손에 쥐고 있는 물건 찾으려 하고
난 오늘이 또 며칠인지 알지 못 하고 
난 집에 가는 길도 낯설어

혼자 뜬 눈으로 밤을 꼬박 새워 
잠 든 전화기만 바라보다가

반쪽뿐인 사랑도 반쪽뿐인 사진도
하나도 버릴 수 없는 내가 너무 가여워
너 때문에 이래 내게 왜 이러는데
깊은 눈물속에 나를 꺼내 줘

널 나 대신에 미워해 줄 친구도 없고
널 잊고 싶은 마음도 없어

가끔 비만 오면 나도 따라 울어
흐린 창에 너의 이름 쓰다가

반쪽뿐인 사랑도 반쪽뿐인 사진도
하나도 버릴 수 없는 내가 너무 가여워
너 때문에 이래 내게 왜 이러는데
깊은 눈물속에 나를 꺼내 줘

사랑이라는 건 너무 어려워
다시 해도 잘 할 자신이 없어

반쪽뿐인 사랑도 반쪽뿐인 사진도
하나도 버릴 수 없는 내가 너무 가여워
너 때문에 이래 내게 왜 이러는데
깊은 눈물속에 나를 꺼내 줘

네가 없는 나는 반쪽이니까",Growing Up,2009. 4. 23.,정규 1집 Growing Up
4,A Dreamer,https://youtu.be/DlrR2rpfW4Q,238233,"밑에 까만 그림자 하나가 깊게 나만 바라만 보다가
밉게 혼자 어딘가 달아난 그때 아침 햇살이 내려와 (uh)
어두운 방 안에서 나 홀로 생각에 잠겨
저 하늘에 달빛이 깊은 어둠을 삼켜
별들의 품에 안겨 스르르 눈이 감겨
꿈 속에 펼쳐진 모습들은 놀라운 광경
손 흔들며 안녕하며 나를 반겨 주는 달과 별들
덩달아 신나서 환하게 웃는 내 얼굴
지금이 순간이 영원하길 기도하며
이 모든 것들이 마치 기적과도 같은 선물
더 가까이 저 하늘 위로 밤새도록 바람 타고 날고 싶어
그냥 걷기만 하는 발 대신에 하얀 날개를 꼭 갖고 싶어
숨겨왔던 감추고 있던 간직했던 한 사람도 몰랐었던
아직 꺼내지 못한 이 비밀까지 저기 별하고 얘기 할래
짙게 다시 어둠이 내린 밤 늦게 작은 방 안에 들어가
이제 나 뿐이라는 생각 난 그때 눈물 한 방울 흘러와
내일을 알 수 없는 삶이라도
건널 수 없을 만큼 깊숙한 강이라도
저 높은 산이라도 어두운 밤이라도
어렵고 두렵지만 갈래 내 등 뒤에 날개를
활짝 피고서 누구보다 밝게 미소 짓고서
혼자가 아닌 걸 비로소 알게 됐어
하늘과 별 바람과 햇살아 날 안아주렴
소중한 내 비밀 너희들만 알아주렴
더 가까이 저 하늘 위로 밤새도록 바람 타고 날고 싶어
그냥 걷기만 하는 발 대신에 하얀 날개를 꼭 갖고 싶어
숨겨왔던 감추고 있던 간직했던 한 사람도 몰랐었던
아직 꺼내지 못 한 이 비밀까지
저기 별하고 얘기 할래
그때가 그리워
별들을 그리며 달빛과 둘이서 춤추던 dreamer
하늘 위로 날며 처음 만나는 자유
꿈 속에서 또 만나요 Bizniz  IU
그때가 그리워
별들을 그리며 달빛과 둘이서 춤추던 dreamer
하늘 위로 날며 처음 만나는 자유
꿈 속에서 또 만나요 Bizniz  IU
누군가가 내게 다가와 왜 아무 말 안 하는지 되묻지만
쉽게 말하는 말보다 상상이 더 오래 기억되고 좋은 걸
Fly to the moon
Dream comes true
Sky's the limit infinity
This is my little secret
",Growing Up,2009. 4. 23.,정규 1집 Growing Up
5,Every Sweet Day,https://youtu.be/k0DZW3VlySI,316975,"Hey boy what you gonna do for me honey
내 방 안에 내 손 끝에 닿는 곳에
하나 둘씩 늘어가는 나보다 큰 선물들
조심스레 만지고
새 하얀 이불에 살며시 숨어서 편지를 쓰고
오랜만에 써내려 간 편지 한 장
내 맘 모두 적어보고 수줍은 끝 인사로
사랑한단 글씨에
아무도 모르게 키스를 담아요
Everyday like a sweet day
Find the day Oh the fine day
눈 뜨면 보고 싶고 만나면 안고 싶고
나도 몰래 어느새 사랑에 빠져 버렸죠
Love you forever 그 어떤 것보다 더
소중한 그댄 내 선물
내게 사준 곰인형을 품에 안고
그대 이름 불러보고 한참을 웃음질 때
머리 맡에 놓아둔 하늘에
흰 구름 모양의 전화가 소리내 울고
그대 만을 반겨주는 내 전화기
내 두 볼에 멀어질 때 다정한 끝 인사로
사랑한단 그 말에
그대를 따라서 사랑을 말해요
Everyday like a sweet day
Find the day Oh the fine day
눈 뜨면 보고 싶고 만나면 안고 싶고
나도 몰래 어느새 사랑에 빠져 버렸죠
Love you forever 그 어떤 것보다
더 소중한 그댄 내 선물
매일 매일 (매일 매일) 내가 잠들기 전에
내 꿈에 먼저 온 그대 모습
날 기다린 그 기나긴 그 시간만큼
그보다 더 그댈 사랑해요
Everyday like a sweet day
Find the day Oh the fine day
날 보면 웃어주는 웃으면 설레이는 이 시간이
영원히 끝나지 않길 바래요
Love you forever 내 마음 속에는
언제나 그대 하나 뿐
Everyday like a sweet day
Find the day Oh the fine day
눈 뜨면 보고 싶고 만나면 안고 싶고
나도 몰래 어느새 사랑에 빠져 버렸죠
Love you forever 그 어떤 것보다
더 소중한 그댄 내 선물
Everyday like a sweet day
",Growing Up,2009. 4. 23.,정규 1집 Growing Up
6,미아,https://youtu.be/0ZukHxqOA0o,4315232,"우리 둘 담아 준 사진을 태워
하나 둘 모아 둔 기억을 지워
그만 일어나 가야 하는 걸
너무 잘 알고 있는데
왜 난 주저 앉고 마는지
쏟아지는 빗물은
날 한 치 앞도 못 보게 해
몰아치는 바람은
단 한 걸음도 못 가게 해 oh
벼랑 끝에 서 있는 듯이
난 무서워 떨고 있지만
작은 두 손을 모은
내 기도는 하나 뿐이야 oh 돌아와
Eh oh eh oh eh eh oh eh oh
Eh oh eh oh eh eh oh
이제는 눈물도 나오지 않아
울먹일 힘마저 없는 것 같아
우리 이별이 꿈이 아닌 걸
너무 잘 알고 있는데
왜 난 깨어나길 비는 지
쏟아지는 빗물은
날 한 치 앞도 못 보게 해
몰아치는 바람은
단 한 걸음도 못 가게 해 oh
벼랑 끝에 서 있는 듯이
난 무서워 떨고 있지만
작은 두 손을 모은
내 기도는 하나 뿐이야 oh
아픈 내 가슴도 깊은 상처들도
나쁜 널 미워하는데
사진을 태우고 기억을 지워도
널 잊을 수 없나 봐 사랑해
쏟아지는 빗물은
날 한 치 앞도 못 보게 해
몰아치는 바람은
단 한 걸음도 못 가게 해 oh
벼랑 끝에 서 있는 듯이
난 무서워 떨고 있지만
작은 두 손을 모은
내 기도는 하나 뿐이야 oh
돌아와 oh 돌아와 oh
",Growing Up,2009. 4. 23.,정규 1집 Growing Up
7,나 말고 넷,https://youtu.be/AzKmCIwmxQs,57210,"여보세요
나 정말 화났어
나 정말 화났어
그만 그만 그만 이제 그만
싫어 싫어 싫어 너무 싫어
거짓말이 내 눈에는 다 보여
다른 여잔 관심없단 그 말
너의 사랑 나 뿐이란 그 말
의심없이 바보같이 믿었지
두고봐 두고봐 넌 넌 넌 실수 했어
나 말고 더 있어 네 여잔
하나 둘 셋 넷
뚜루뚜뚜 뚜뚜 뚜 뚜루뚜
우리 둘이 딱 헤어져
싹싹 빌고 엉엉 울고
그래도 안 봐 줄래
뚜루뚜뚜 뚜뚜 뚜 뚜루뚜
여기까지 딱 좋았어
어머 어머 정말이야 끝이야
바람 피다 들키니까 어때
아니라며 잡아 떼면 뭘 해
빨리 빨리 사실대로 다 말해
두고봐 두고봐 넌 넌 넌 실수 했어
나 말고 더 있어 네 여잔
하나 둘 셋 넷
뚜루뚜뚜 뚜뚜 뚜 뚜루뚜
우리 둘이 딱 헤어져
싹싹 빌고 엉엉 울고
그래도 안 봐 줄래
뚜루뚜뚜 뚜뚜 뚜 뚜루뚜
여기까지 딱 좋았어
어머 어머 정말이야 끝이야
미안해 하니까 한 번만
봐 줄까 그래 볼까
뚜루뚜뚜 뚜뚜 뚜 뚜루뚜
어딨는지 뭘 하는지 하루에도
열 두번은 전화해 안 봐 줄래
뚜루뚜뚜 뚜뚜 뚜 뚜루뚜
거짓말을 또 한다면 그땐 정말
가만 안 둬 진짜야
약속해줘 너는 나만 사랑해",Growing Up,2009. 4. 23.,정규 1집 Growing Up
8,있잖아 (Rock Ver),https://youtu.be/7WINyXmPRAE,4202448,"Yeah  this song is my love story haha
첫 눈에 반한다는 말 절대로 믿지 않던 난
내 앞에 너 나타난 순간 뺏겨버린 맘 멈춰버린 시간
지난 밤에 꿈에서 만난 오랫동안 찾아 헤맨 나의 천사
너무나도 가슴 떨려 말 한 마디 못 해 난 어떡해
있잖아 왠지 두근두근 가슴이 떨려 몰라
있잖아 괜히 나를 보는 눈빛이 너무 좋아
내게 다가 와 (L-U-V) 부끄럽지만
(A to Z) 알고 싶어
난 숨겨 둔 너의 맘
Oh (come on  Mario) 나를 원하니 (yeah!) 가지고 싶니 (yeah!)
나의 모든 게 전부 네 것이길 바라니 (yeah!)
사랑한단 한 마디만 솔직히 말해 봐
Oh oh
이별에 혼자 훌쩍 훌쩍 우는 건 싫어 정말
사랑에 너와 생글 생글 웃고만 싶어 항상
(Baby one two three) 두 손을 꼽아 (L-U-V) 세어보지만
(A to Z) 그 무엇보다 네가 제일 좋아 oh
나를 원하니 (yeah!) 가지고 싶니 (yeah!)
나의 모든 게 전부 네 것이길 바라니 (yeah!)
사랑한단 한 마디만 솔직히 말해 봐
I believe you 'cause I'm in love with you
이런 느낌은 처음이니까 oh
용기내서 말하려 네 앞에 서기만 하면 난 바보가 되고
인사하고 돌아서는 뒷 모습을 보며 또 한숨만 쉬고
누구보다도 무엇보다도 난 너 하나만 있어주면 된다고
다른 것들은 다 필요없다고 그래 나 너만 원한다고 (ay)
나 혼자만 널 원하고 있는 것은 아닐까 혹시나 하는 맘에
불안한 맘에 가슴 속에 담아두는 사랑한다는 말
나를 원하니 (yeah!) 가지고 싶니 (yeah!)
나의 모든 게 전부 네 것이길 바라니 (yeah!)
사랑한단 한 마디만 솔직히 말해 봐 (come on  Mario)
나를 원하니 (yeah!) 가지고 싶니 (yeah!)
나의 모든 게 전부 네 것이길 바라니 (yeah!)
사랑한단 한 마디만 솔직히 말해 봐 (OK)
부드러운 내 입술이 네 볼에 닿을 때
나만 사랑한단 말만 속삭여 줘 darling
",Growing Up,2009. 4. 23.,정규 1집 Growing Up
9,졸업하는 날,https://youtu.be/PfhQbWEeJpI,993136,"오늘은 학교 졸업식
중학생이었던 이지은이 벌써 고등학생 oh
좀 이상해 좀 서운해
친구들 떠날 생각에
나 기분이 왠지 좋진 않아 oh oh
매일 걷던 등굣길
혼을 내던 선생님까지
내 기억에 조금씩
작아지는 추억들이 되겠지만
I'm alright  I'm so fine 아무 문제 없잖아
가끔 속상한 일 있으면 잠깐 울면 되지 뭐
I'm alright  I'm so fine 아무 걱정 하지마
아마 내겐 나쁜 날보다 좋은 날이 많을 거야
책상을 정리하다가
그러다가 문득
친구들과 찍은 사진 봤어 oh
찾아볼 땐 없었는데
어디에 있다 온 거야
나 기분이 좋아 진 것 같아 oh oh
뭔가 좋은 일들이 생길 것만 같은 이 느낌
눈을 뜨는 내일이 기다려져 이제부터 시작이야
I'm alright  I'm so fine 아무 문제 없잖아
가끔 속상한 일 있으면 잠깐 울면 되지 뭐
I'm alright  I'm so fine 아무 걱정 하지마
아마 내겐 나쁜 날보다 좋은 날이 많을 거야
멀어져도
(우리는 꼭) 예쁘게 자라서 또 다시 만날 걸 알잖아
I'm alright  I'm so fine 아무 문제 없잖아
가끔 속상한 일 있으면 잠깐 울면 되지 뭐
I'm alright  I'm so fine 아무 걱정 하지마
아마 내겐 나쁜 날보다 (날보다) 좋은 날이 많을 거야
졸업하는 날
졸업하는 날
졸업하는 날
",Growing Up,2009. 4. 23.,정규 1집 Growing Up
10,Feel So Good,https://youtu.be/r4QggCJ-0eA,232039,"아침에 눈을 뜨면 다가오는 햇살
햇살에 눈 비비고 일어나고
일어나 남은 잠을 깨워보는 Shower time

누군가 청소를 한 깨끗해진 거리
거리에 울리는 내 걸음 소리
Feel so good (Feel so good)
Feel so good (Feel so good)
All my life

얼굴은 웃음으로 가득 채워 그리고
마음은 사랑으로 가득 채워 그래서
걱정은 마음 속에 담지 말고
그래도 그래도 가끔
눈물이 흐를 때는 울어 버려 그리고
또 다시 아플 때는 웃어 버려
그래서(그래서) 언제나 행복한 나

하루에 열 두번은 지어보는 미소
미소에 모두 나를 반겨주고
반기는 사람들과 인사하는 Everytime

어둔 밤 골목길을 지켜주는 달빛
달빛에 춤을 추는 강아지도
Feel so good (Feel so good)
Feel so good (Feel so good)
All my life

얼굴은 웃음으로 가득 채워 그리고
마음은 사랑으로 가득 채워 그래서
걱정은 마음 속에 담지 말고
그래도 그래도 가끔
눈물이 흐를 때는 울어 버려 그리고
또 다시 아플 때는 웃어 버려
그래서(그래서) 언제나 행복한 나

한 걸음 두 걸음 천천히 뛰지 말고
자꾸 자꾸 서두르지 말고
하루 하루 거르지 않고
사랑해 소릴 키우고
그때 그때 오해 다 지우고
서로 서로 아껴준다면
모두 다 기쁜 기분 Feel so good

얼굴은 웃음으로 가득 채워 그리고
마음은 사랑으로 가득 채워 그래서
걱정은 마음 속에 담지 말고
그래도 그래도 가끔
눈물이 흐를 때는 울어 버려 그리고
또 다시 아플 때는 웃어 버려
그래서(그래서) 언제나 행복한 나

웃어 봐 웃어 봐 기분이 좋아
",Growing Up,2009. 4. 23.,정규 1집 Growing Up
